data-cut-off-date,web-posting-date,aefi,pfizer-events,pfizer-bivalent-reports,moderna-events,moderna-bivalent-BA1-reports,moderna-bivalent-BA45-reports,cov-azc-events,janssen-events,Novavax-events,unspecified-events,total-events,pfizer-rate,pfizer-bivalent-rate,moderna-rate,moderna-bivalent-BA1-rate,moderna-bivalent-BA45-rate,cov-azc-rate,janssen-rate,Novavax-rate,total-rate
2021-02-05,2021-02-12,Vaccination site pain,N/A,,N/A,,,N/A,,,N/A,236,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Vaccination site erythema (redness),N/A,,N/A,,,N/A,,,N/A,190,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Vaccination site swelling,N/A,,N/A,,,N/A,,,N/A,141,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Vaccination site warmth,N/A,,N/A,,,N/A,,,N/A,127,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Vaccination site pruritus (itching),N/A,,N/A,,,N/A,,,N/A,81,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Paraesthesia (tingling or prickling),N/A,,N/A,,,N/A,,,N/A,80,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Pruritus (itching),N/A,,N/A,,,N/A,,,N/A,76,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Headache,N/A,,N/A,,,N/A,,,N/A,68,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Urticaria (hives),N/A,,N/A,,,N/A,,,N/A,63,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Vaccination site reaction,N/A,,N/A,,,N/A,,,N/A,62,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Nausea,N/A,,N/A,,,N/A,,,N/A,61,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Vaccination site cellulitis,N/A,,N/A,,,N/A,,,N/A,60,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Vaccination site induration (hardening),N/A,,N/A,,,N/A,,,N/A,52,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Dyspnoea (laboured breathing),N/A,,N/A,,,N/A,,,N/A,51,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Rash,N/A,,N/A,,,N/A,,,N/A,50,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Vaccination site rash,N/A,,N/A,,,N/A,,,N/A,49,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Fatigue,N/A,,N/A,,,N/A,,,N/A,48,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Hypoaesthesia (numbness),N/A,,N/A,,,N/A,,,N/A,44,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-05,2021-02-12,Anaphylaxis,N/A,,N/A,,,N/A,,,N/A,29,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Vaccination site pain,N/A,,N/A,,,N/A,,,N/A,290,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Vaccination site erythema (redness),N/A,,N/A,,,N/A,,,N/A,247,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Vaccination site swelling,N/A,,N/A,,,N/A,,,N/A,196,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Vaccination site warmth,N/A,,N/A,,,N/A,,,N/A,155,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Vaccination site reaction,N/A,,N/A,,,N/A,,,N/A,118,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Paraesthesia (tingling or prickling),N/A,,N/A,,,N/A,,,N/A,110,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Vaccination site pruritus (itching),N/A,,N/A,,,N/A,,,N/A,106,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Pruritus (itching),N/A,,N/A,,,N/A,,,N/A,101,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Headache,N/A,,N/A,,,N/A,,,N/A,96,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Nausea,N/A,,N/A,,,N/A,,,N/A,83,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Vaccination site cellulitis,N/A,,N/A,,,N/A,,,N/A,81,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Urticaria (hives),N/A,,N/A,,,N/A,,,N/A,75,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Other allergic reactions,N/A,,N/A,,,N/A,,,N/A,74,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Rash,N/A,,N/A,,,N/A,,,N/A,67,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Dyspnoea (laboured breathing),N/A,,N/A,,,N/A,,,N/A,66,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Fatigue,N/A,,N/A,,,N/A,,,N/A,66,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Vaccination site induration (hardening),N/A,,N/A,,,N/A,,,N/A,64,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Dizziness,N/A,,N/A,,,N/A,,,N/A,60,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Hypoaesthesia (numbness),N/A,,N/A,,,N/A,,,N/A,59,N/A,,N/A,,,N/A,N/A,,N/A
2021-02-12,2021-02-19,Vaccination site rash,N/A,,N/A,,,N/A,,,N/A,57,N/A,,N/A,,,N/A,N/A,,N/A
