data-cut-off-date,web-posting-date,aesi-category,aesi,pfizer-events,pfizer-bivalent-events,moderna-events,moderna-bivalent-BA1-events,moderna-bivalent-BA.4/5-events,cov-azc-events,janssen-events,Novavax-events,unspecified-events,total-events,pfizer-rate,moderna-rate,moderna-bivalent-BA1-rate,moderna-bivalent-BA.4/5-rate,cov-azc-rate,Janssen-rate,total-rate
2021-05-14,2021-05-21,Auto-immune diseases,Guillain-Barré Syndrome,7,,0,,,6,,,0,13,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Auto-immune diseases,Thrombocytopenia (low blood platelets),6,,1,,,15,,,0,22,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Auto-immune diseases,Subtotal n (%),13,,1,,,21,,,0,35,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Cardiovascular system,Cardiac arrest,3,,5,,,1,,,0,9,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Cardiovascular system,Cardiac failure,1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Cardiovascular system,Microangiopathy,0,,0,,,0,,,0,0,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Cardiovascular system,Myocardial infarction (heart attack),8,,4,,,3,,,0,15,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Cardiovascular system,Myocarditis (heart inflammation),12,,2,,,1,,,0,15,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Cardiovascular system,Stress cardiomyopathy,0,,0,,,0,,,0,0,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Cardiovascular system,Subtotal n (%),24,,11,,,5,,,0,40,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Circulatory system,Cerebral venous (sinus) thrombosis,0,,0,,,4,,,0,4,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Circulatory system,Cerebral thrombosis,0,,1,,,2,,,0,3,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Circulatory system,Cutaneous vasculitis,1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Circulatory system,Deep vein thrombosis,13,,6,,,17,,,0,36,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Circulatory system,Embolism,0,,0,,,2,,,0,2,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Circulatory system,Haemorrhage (bleeding),3,,2,,,1,,,0,6,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Circulatory system,Pulmonary embolism,31,,9,,,35,,,0,75,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Circulatory system,Thrombosis (blood clot),14,,1,,,21,,,3,39,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Circulatory system,Thrombosis with thrombocytopenia syndrome (blood clot with low platelets),0,,0,,,22,,,0,22,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Circulatory system,Subtotal n (%),62,,19,,,104,,,3,188,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Hepato-gastrointestinal and renal system,Acute kidney injury,7,,1,,,0,,,0,8,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Hepato-gastrointestinal and renal system,Liver injury,1,,0,,,0,,,0,1,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Hepato-gastrointestinal and renal system,Subtotal n (%),8,,1,,,0,,,0,9,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Nerves and central nervous system,Bell's Palsy/Facial Paralysis,93,,27,,,11,,,0,131,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Nerves and central nervous system,Cerebrovascular accident (stroke),28,,4,,,13,,,1,46,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Nerves and central nervous system,Generalized convulsion (seizure),0,,0,,,0,,,0,0,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Nerves and central nervous system,Transverse myelitis (inflammation of spinal cord),4,,2,,,0,,,0,6,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Nerves and central nervous system,Subtotal n (%),125,,33,,,24,,,1,183,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Other system,Anaphylaxis,53,,9,,,0,,,0,62,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Other system,COVID-19*,55,,0,,,1,,,0,56,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Other system,Subtotal n (%),108,,9,,,1,,,0,118,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Pregnancy outcomes,Fetal growth restriction,3,,0,,,0,,,0,3,N/A,N/A,,,N/A,,N/A
2021-05-14,2021-05-21,Pregnancy outcomes,Spontaneous abortion,3,,0,,,0,,,0,3,N/A,N/A,,,N/A,,N/A
