data-cut-off-date,web-posting-date,monthly-non-serious-all,monthly-serious-all,cum-non-serious-all,cum-serious-all,doses-admin-all,monthly-doses-admin-all,monthly-non-serious-rate-all,monthly-serious-rate-all,monthly-total-rate-all,monthly-non-serious-18plus,monthly-serious-18plus,cum-non-serious-18plus,cum-serious-18plus,doses-admin-18plus,monthly-doses-admin-18plus,monthly-non-serious-rate-18plus,monthly-serious-rate-18plus,monthly-total-rate-18plus,monthly-non-serious-12to17,monthly-serious-12to17,cum-non-serious-12to17,cum-serious-12to17,doses-admin-12to17,monthly-doses-admin-12to17,monthly-non-serious-rate-12to17,monthly-serious-rate-12to17,monthly-total-rate-12to17,monthly-non-serious-5to11,monthly-serious-5to11,cum-non-serious-5to11,cum-serious-5to11,doses-admin-5to11,monthly-doses-admin-5to11,monthly-non-serious-rate-5to11,monthly-serious-rate-5to11,monthly-total-rate-5to11,monthly-non-serious-0to4,monthly-serious-0to4,cum-non-serious-0to4,cum-serious-0to4,doses-admin-0to4,monthly-doses-admin-0to4,monthly-non-serious-rate-0to4,monthly-serious-rate-0to4,monthly-total-rate-0to4
2021-01-08,2021-02-05,18,31,18,31,82512,82512,21.82,37.57,59.39,18,24,18,24,N/A,N/A,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-03-05,617,116,635,147,973484,890972,69.25,13.02,82.27,615,96,633,120,N/A,N/A,N/A,N/A,N/A,1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-03-05,2021-04-02,1159,159,1794,306,1921118,947634,122.30,16.78,139.08,1154,123,1787,243,N/A,N/A,N/A,N/A,N/A,3,0,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-02,2021-04-30,1017,309,2811,615,5202414,3281296,30.99,9.42,40.41,1013,273,2800,516,5188396,5188396,19.52,5.26,24.79,2,1,6,2,6862,6862,29.15,14.57,43.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-04-30,2021-05-28,1933,685,4744,1300,12168261,6965847,27.75,9.83,37.58,1924,596,4724,1112,12139192,6950796,27.68,8.57,36.25,1,0,7,2,17172,10310,9.70,0.00,9.70,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-05-28,2021-06-25,3649,934,8393,2234,21300225,9131964,39.96,10.23,50.19,3629,849,8353,1961,21024078,8884886,40.84,9.56,50.40,8,6,15,8,254698,237526,3.37,2.53,5.89,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-06-25,2021-07-23,4120,908,12513,3142,32498715,11198490,36.79,8.11,44.90,4013,820,12366,2781,30928407,9904329,40.52,8.28,48.80,104,31,119,39,1528628,1273930,8.16,2.43,10.60,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-07-23,2021-08-20,4432,1003,16945,4145,45599060,13100345,33.83,7.66,41.49,4285,913,16651,3694,43216285,12287878,34.87,7.43,42.30,143,43,262,82,2344480,815852,17.53,5.27,22.80,2,0,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-08-20,2021-09-17,3912,844,20857,4989,51637654,6038594,64.78,13.98,78.76,3680,752,20331,4446,48312448,5096163,72.21,14.76,86.97,229,55,491,137,3280102,935622,24.48,5.88,30.35,1,1,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-09-17,2021-10-18,3038,686,23895,5675,54440952,2803298,108.37,24.47,132.84,2850,597,23181,5043,50638365,2325917,122.53,25.67,148.20,181,53,672,190,3726833,446731,40.52,11.86,52.38,5,1,8,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-10-15,2021-11-15,2810,637,26705,6312,56910322,2469370,113.79,25.80,139.59,2657,551,25838,5594,52792626,2154261,123.34,25.58,148.91,140,44,812,234,3996925,270092,51.83,16.29,68.12,2,0,10,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-11-12,2021-12-10,2625,597,29330,6909,58882065,1971743,133.13,30.28,163.41,2505,500,28343,6094,54588525,1795899,139.48,27.84,167.33,110,43,922,277,4171218,174293,63.11,24.67,87.78,9,3,19,5,15456,15456,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-12-10,2022-01-07,2007,444,31337,7353,61609488,2727423,73.59,16.28,89.87,1901,379,30244,6473,56661326,2072801,91.71,18.28,110.00,79,27,1001,304,4274715,103497,76.33,26.09,102.42,22,5,41,10,659605,644149,3.42,0.78,4.19,0,0,0,0,N/A,N/A,N/A,N/A,N/A
2022-01-07,2022-02-04,1453,412,32790,7765,68539723,6930235,20.97,5.94,26.91,1311,350,31555,6823,62731442,6070116,21.60,5.77,27.36,37,10,1038,314,4357672,82957,44.60,12.05,56.66,99,20,140,30,1436482,776877,12.74,2.57,15.32,1,0,1,0,N/A,N/A,N/A,N/A,N/A
2022-02-04,2022-03-04,2430,548,35220,8313,77464378,8924655,27.23,6.14,33.37,2260,471,33815,7294,70828504,8097062,27.91,5.82,33.73,47,8,1085,322,4452636,94964,49.49,8.42,57.92,119,21,259,51,2120858,684376,17.39,3.07,20.46,2,0,3,0,N/A,N/A,N/A,N/A,N/A
2022-03-04,2022-04-01,2044,403,37264,8716,80305163,2840785,71.95,14.19,86.14,1872,331,35687,7625,72807759,1979255,94.58,16.72,111.30,49,16,1134,338,4706520,253884,19.30,6.30,25.60,118,12,377,63,2727156,606298,19.46,1.98,21.44,0,0,3,0,N/A,N/A,N/A,N/A,N/A
2022-04-01,2022-04-29,1043,274,38307,8990,81127189,822026,126.88,33.33,160.21,949,213,36636,7838,73308523,500764,189.51,42.54,232.05,34,24,1168,362,4838421,131901,25.78,18.20,43.97,59,16,436,79,2915287,188131,31.36,8.50,39.87,0,0,3,0,N/A,N/A,N/A,N/A,N/A
2022-04-29,2022-05-30,730,260,39037,9250,82687307,1560118,46.79,16.67,63.46,622,204,37258,8042,74715815,1407292,44.20,14.50,58.69,38,16,1206,378,4904291,65870,57.69,24.29,81.98,67,8,503,87,3001801,86514,77.44,9.25,86.69,0,0,3,0,N/A,N/A,N/A,N/A,N/A
2022-05-27,2022-06-24,562,137,39599,9387,84347044,1659737,33.86,8.25,42.12,506,124,37764,8166,76270782,1554967,32.54,7.97,40.52,11,3,1217,381,4941380,37089,29.66,8.09,37.75,42,3,545,90,3072398,70597,59.49,4.25,63.74,1,0,4,0,N/A,N/A,N/A,N/A,N/A
2022-06-24,2022-07-08,592,223,40191,9610,85308418,961374,61.58,23.20,84.77,558,181,38322,8347,77167674,896892,62.21,20.18,82.40,9,6,1226,387,4971669,30289,29.71,19.81,49.52,24,5,569,95,3107453,35055,68.46,14.26,82.73,0,0,4,0,N/A,N/A,N/A,N/A,N/A
2022-07-22,2022-08-05,360,139,40551,9749,86218485,910067,39.56,15.27,54.83,323,115,38645,8462,78019705,852031,37.91,13.50,51.41,12,1,1238,388,5002056,30387,39.49,3.29,42.78,19,3,588,98,3134820,27367,69.43,10.96,80.39,0,0,4,0,298,N/A,N/A,N/A,N/A
2022-08-19,2022-09-02,356,119,40907,9868,87511551,1293066,27.53,9.20,36.73,331,95,38976,8557,79192743,1173038,28.22,8.10,36.32,11,3,1249,391,5035500,33444,32.89,8.97,41.86,10,6,598,104,3165526,30706,32.57,19.54,52.11,4,0,8,0,61154,60856,6.57,0.00,6.57
2022-09-16,2022-09-30,301,148,41208,10016,88551818,1040267,28.93,14.23,43.16,266,114,39242,8671,80069594,876851,30.34,13.00,43.34,10,3,1259,394,5069159,33659,29.71,8.91,38.62,11,2,609,106,3244955,79429,13.85,2.52,16.37,12,1,20,1,111170,50016,23.99,2.00,25.99
2022-10-14,2022-10-28,401,248,41609,10264,90555041,2003223,20.02,12.38,32.40,347,106,39589,8777,81946539,1876945,18.49,5.65,24.13,11,3,1270,397,5088567,19408,56.68,15.46,72.14,16,4,625,110,3314108,69153,23.14,5.78,28.92,26,2,46,3,148406,37236,69.82,5.37,75.20
2022-11-11,2022-11-25,233,97,41842,10361,93336609,2781568,8.38,3.49,11.86,201,79,39790,8856,84559155,2612616,7.69,3.02,10.72,6,0,1276,397,5156708,68141,8.81,0.00,8.81,11,6,636,116,3362176,48068,22.88,12.48,35.37,14,1,60,4,193855,45449,30.80,2.20,33.00
2022-12-09,2022-12-22,244,128,42545,10519,95478519,2134958,11.43,6.00,17.42,216,88,40449,8977,86517428,1951980,11.07,4.51,15.57,7,2,1295,397,5232896,76102,9.20,2.63,11.83,6,0,646,115,3415305,52840,11.36,0.00,11.36,13,1,76,5,238444,44305,29.34,2.26,31.60
