data-cut-off-date,web-posting-date,vaccine-name,non-serious-all,serious-all,total-all,non-serious-rate-all,serious-rate-all,total-rate-all,doses-admin-all,non-serious-18plus,serious-18plus,total-18plus,non-serious-rate-18plus,serious-rate-18plus,total-rate-18plus,doses-admin-18plus,non-serious-12to17,serious-12to17,total-12to17,non-serious-rate-12to17,serious-rate-12to17,total-rate-12to17,doses-admin-12to17,non-serious-5to11,serious-5to11,total-5to11,non-serious-rate-5to11,serious-rate-5to11,total-rate-5to11,doses-admin-5to11,non-serious-0to4,serious-0to4,total-0to4,non-serious-rate-0to4,serious-rate-0to4,total-rate-0to4,doses-admin-0to4
2021-01-01,2021-01-08,PB COVID-19,4,5,9,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,2021-01-08,Total,4,5,9,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,2021-01-15,PB COVID-19,14,9,23,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,2021-01-15,Mod COVID-19,0,1,1,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,2021-01-15,Total,14,10,24,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,2021-01-22,PB COVID-19,57,23,80,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,2021-01-22,Mod COVID-19,6,4,10,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,2021-01-22,Total,63,27,90,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,2021-01-29,PB COVID-19,145,44,189,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,2021-01-29,Mod COVID-19,44,11,55,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,2021-01-29,Total,189,55,244,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,2021-02-05,PB COVID-19,255,52,307,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,2021-02-05,Mod COVID-19,157,16,173,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,2021-02-05,Total,412,68,480,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,2021-02-12,PB COVID-19,297,74,371,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,2021-02-12,Mod COVID-19,255,25,280,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,2021-02-12,Total,552,99,651,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,2021-02-19,PB COVID-19,396,113,509,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,2021-02-19,Mod COVID-19,421,27,448,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,2021-02-19,Total,817,140,957,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,2021-02-26,PB COVID-19,505,133,638,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,2021-02-26,Mod COVID-19,563,34,597,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,2021-02-26,Total,1068,167,1235,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,2021-03-05,PB COVID-19,697,156,853,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,2021-03-05,Mod COVID-19,700,38,738,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-26,2021-03-05,Total,1397,194,1591,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,2021-03-12,PB COVID-19,889,172,1061,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,2021-03-12,Mod COVID-19,820,42,862,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,2021-03-12,AZC COVID-19 ,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,2021-03-12,Total,1709,214,1923,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,2021-03-19,PB COVID-19,1008,237,1245,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,2021-03-19,Mod COVID-19,914,49,963,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,2021-03-19,AZC COVID-19 ,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,2021-03-19,AZC COVID-19 (COVISHIELD),0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,2021-03-19,Jan COVID-19,0,0,0,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,2021-03-19,Unspecified COVID-19,0,1,1,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,2021-03-19,Total,1922,287,2209,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,2021-03-26,PB COVID-19,1181,263,1444,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,2021-03-26,Mod COVID-19,1025,54,1079,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
