data-cut-off-date,web-posting-date,age-group,male,female,other,unknown,total,doses-admin-age-group,doses-admin-male,doses-admin-female,doses-admin-male-female,rate-age-group,rate-male,rate-female,rate-male-female
2021-01-01,2021-01-08,<1,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-01,2021-01-08,1 to <2,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-01,2021-01-08,2 to <7,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-01,2021-01-08,7 to <18,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-01,2021-01-08,18 to <50,0,8,0,0,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-01,2021-01-08,50 to <65,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-01,2021-01-08,65+,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-01,2021-01-08,Unknown,0,0,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-01,2021-01-08,Total,0,8,0,1,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-08,2021-01-15,<1,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-08,2021-01-15,1 to <2,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-08,2021-01-15,2 to <7,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-08,2021-01-15,7 to <18,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-08,2021-01-15,18 to <50,1,16,0,0,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-08,2021-01-15,50 to <65,0,6,0,0,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-08,2021-01-15,65+,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-08,2021-01-15,Unknown,0,0,0,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-08,2021-01-15,Total,1,22,0,1,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-15,2021-01-22,<1,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-15,2021-01-22,1 to <2,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-15,2021-01-22,2 to <7,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-15,2021-01-22,7 to <18,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-15,2021-01-22,18 to <50,2,59,0,2,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-15,2021-01-22,50 to <65,2,18,0,0,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-15,2021-01-22,65+,0,4,0,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-15,2021-01-22,Unknown,0,1,0,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-15,2021-01-22,Total,4,82,0,4,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-22,2021-01-29,<1,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-22,2021-01-29,1 to <2,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-22,2021-01-29,2 to <7,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-22,2021-01-29,7 to <18,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-22,2021-01-29,18 to <50,8,143,0,2,153,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-22,2021-01-29,50 to <65,8,62,0,0,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-22,2021-01-29,65+,3,11,0,0,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-22,2021-01-29,Unknown,2,3,0,2,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-22,2021-01-29,Total,21,219,0,4,244,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-29,2021-02-05,<1,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-29,2021-02-05,1 to <2,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-29,2021-02-05,2 to <7,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-29,2021-02-05,7 to <18,0,1,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-29,2021-02-05,18 to <50,12,271,0,2,285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-29,2021-02-05,50 to <65,12,108,0,0,120,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-29,2021-02-05,65+,10,52,0,1,63,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-29,2021-02-05,Unknown,2,5,0,4,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-01-29,2021-02-05,Total,36,437,0,7,480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-02-12,<1,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-02-12,1 to <2,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-02-12,2 to <7,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-02-12,7 to <18,0,2,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-02-12,18 to <50,23,344,0,2,369,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2021-02-05,2021-02-12,50 to <65,17,141,0,0,158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
