Data cut off date,Web posting date,Serious adverse event outcome,CAEFISS reports,CV reports,Total reports,
2021-01-01,2021-01-08,Death,0,0,0,
2021-01-01,2021-01-08,Congenital abnormality,0,0,0,
2021-01-01,2021-01-08,Hospitalization or prolongation of existing hospitalization,1,0,1,
2021-01-01,2021-01-08,Life threatening,2,0,2,
2021-01-01,2021-01-08,Persistent or significant disability/incapacity,0,0,0,
2021-01-01,2021-01-08,Other medically important event,0,2,2,
2021-01-01,2021-01-08,Total,3,2,5,
2021-01-08,2021-01-15,Death,0,0,0,
2021-01-08,2021-01-15,Congenital abnormality,0,0,0,
2021-01-08,2021-01-15,Hospitalization or prolongation of existing hospitalization,1,0,1,
2021-01-08,2021-01-15,Life threatening,2,0,2,
2021-01-08,2021-01-15,Persistent or significant disability/incapacity,0,0,0,
2021-01-08,2021-01-15,Other medically important event,0,7,7,
2021-01-08,2021-01-15,Total,3,7,10,
2021-01-15,2021-01-22,Death,0,0,0,
2021-01-15,2021-01-22,Congenital abnormality,0,0,0,
2021-01-15,2021-01-22,Hospitalization or prolongation of existing hospitalization,1,0,1,
2021-01-15,2021-01-22,Life threatening,10,0,10,
2021-01-15,2021-01-22,Persistent or significant disability/incapacity,0,0,0,
2021-01-15,2021-01-22,Other medically important event,0,16,16,
2021-01-15,2021-01-22,Total,11,16,27,
2021-01-22,2021-01-29,Death,1,1,2,
2021-01-22,2021-01-29,Congenital abnormality,0,0,0,
2021-01-22,2021-01-29,Hospitalization or prolongation of existing hospitalization,3,1,4,
2021-01-22,2021-01-29,Life threatening,22,0,22,
2021-01-22,2021-01-29,Persistent or significant disability/incapacity,2,0,2,
2021-01-22,2021-01-29,Other medically important event,0,25,25,
2021-01-22,2021-01-29,Total,28,27,55,
2021-01-29,2021-02-05,Death,2,1,3,
2021-01-29,2021-02-05,Congenital abnormality,0,0,0,
2021-01-29,2021-02-05,Hospitalization or prolongation of existing hospitalization,3,2,5,
2021-01-29,2021-02-05,Life threatening,24,1,25,
2021-01-29,2021-02-05,Persistent or significant disability/incapacity,2,1,3,
2021-01-29,2021-02-05,Other medically important event,0,35,35,
2021-01-29,2021-02-05,Total,31,40,71,
2021-02-05,2021-02-12,Death,5,1,6,
2021-02-05,2021-02-12,Congenital abnormality,0,0,0,
2021-02-05,2021-02-12,Hospitalization or prolongation of existing hospitalization,4,5,9,
2021-02-05,2021-02-12,Life threatening,43,2,45,
2021-02-05,2021-02-12,Persistent or significant disability/incapacity,2,1,3,
2021-02-05,2021-02-12,Other medically important event,0,41,41,
2021-02-05,2021-02-12,Total,54,50,104,
2021-02-12,2021-02-19,Death,7,1,8,
2021-02-12,2021-02-19,Congenital abnormality,0,0,0,
2021-02-12,2021-02-19,Hospitalization or prolongation of existing hospitalization,6,7,13,
2021-02-12,2021-02-19,Life threatening,44,2,46,
2021-02-12,2021-02-19,Persistent or significant disability/incapacity,2,2,4,
2021-02-12,2021-02-19,Other medically important event,0,75,75,
2021-02-12,2021-02-19,Total,59,87,146,
2021-02-19,2021-02-26,Death,9,1,10,
2021-02-19,2021-02-26,Congenital abnormality,0,0,0,
2021-02-19,2021-02-26,Hospitalization or prolongation of existing hospitalization,16,7,23,
2021-02-19,2021-02-26,Life threatening,48,2,50,
2021-02-19,2021-02-26,Persistent or significant disability/incapacity,2,2,4,
2021-02-19,2021-02-26,Other medically important event,0,86,86,
2021-02-19,2021-02-26,Total,75,98,173,
2021-02-26,2021-03-05,Death,8,1,9,
2021-02-26,2021-03-05,Congenital abnormality,0,0,0,
2021-02-26,2021-03-05,Hospitalization or prolongation of existing hospitalization,25,10,35,
