data-cut-off-date,web-posting-date,total,serious,non-serious,new-since-last-posting,num-doses-admin,percent-total,percent-serious,percent-non-serious,current-num-doses-admin
2021-01-08,2021-02-05,49,31,18,N/A,N/A,0.007%,0.004%,0.002%,753248
2021-02-05,2021-03-05,782,147,635,733,753248,0.056%,0.010%,0.045%,1402139
2021-03-05,2021-04-02,2100,306,1794,1318,1402139,0.056%,0.008%,0.048%,3729312
2021-04-02,2021-04-30,3426,615,2811,1326,3729312,0.036%,0.006%,0.030%,9525732
2021-04-30,2021-05-28,6043,1299,4744,2617,9525732,0.034%,0.007%,0.027%,17734322
2021-05-28,2021-06-25,10626,2234,8392,4583,17734322,0.038%,0.008%,0.030%,28156222
2021-06-25,2021-07-23,15653,3141,12512,5027,28156222,0.038%,0.008%,0.030%,41526682
2021-07-23,2021-08-20,21088,4144,16944,5435,41526682,0.042%,0.008%,0.034%,50254577
2021-08-20,2021-09-17,25842,4987,20855,4754,50254577,0.048%,0.009%,0.039%,53559981
2021-09-17,2021-10-18,29565,5673,23892,3723,53559981,0.053%,0.010%,0.043%,56151862
2021-10-15,2021-11-15,33012,6312,26700,3447,56151862,0.057%,0.011%,0.046%,58313753
2021-11-12,2021-12-10,36234,6909,29325,3222,58313753,0.060%,0.012%,0.049%,59999590
2021-12-10,2022-01-07,38684,7352,31332,2450,59999590,0.058%,0.011%,0.047%,66577577
2022-01-07,2022-02-04,40548,7764,32784,1864,66577577,0.054%,0.010%,0.044%,75026797
2022-02-04,2022-03-04,43527,8313,35214,2979,75026797,0.054%,0.010%,0.044%,80276152
2022-03-04,2022-04-01,45974,8716,37258,2447,80276152,0.056%,0.011%,0.046%,81561872
2022-04-01,2022-04-29,47604,9012,38592,1630,81561872,0.058%,0.011%,0.047%,82653762
2022-04-29,2022-05-30,48593,9271,39322,989,82653762,0.057%,0.011%,0.047%,84559822
2022-05-27,2022-06-24,49292,9411,39881,699,84559822,0.058%,0.011%,0.047%,85133726
2022-06-24,2022-07-08,50107,9634,40473,815,85133726,0.058%,0.011%,0.047%,85950064
2022-07-22,2022-08-05,50606,9773,40833,499,85950064,0.058%,0.011%,0.047%,87040246
2022-08-19,2022-09-02,51081,9892,41189,475,87040246,0.058%,0.011%,0.047%,88237534
2022-09-16,2022-09-30,51530,10039,41491,449,88237534,0.058%,0.011%,0.046%,89323181
2022-10-14,2022-10-28,52179,10287,41892,649,89323181,0.057%,0.011%,0.046%,91350384
2022-11-11,2022-11-25,52692,10391,42301,513,91350384,0.057%,0.011%,0.045%,93171073
2022-12-09,2022-12-22,53064,10519,42545,372,93171073,0.056%,0.011%,0.045%,95565309
